listing_month,listings,median_price_per_sqm,median_mix_residual,city_slug,raw_price_index_first_eligible_100,composition_adjusted_index_first_eligible_100,raw_price_index_common_100,composition_adjusted_index_common_100
2024-04-01,189,37777777.777777776,-0.0833048719902223,isfahan,100.0,100.0,106.25,87.6437353056318
2024-05-01,2298,35555555.55555555,0.04858517916525429,isfahan,94.11764705882352,114.09828626230885,100.0,100.0
2024-06-01,2154,34330357.14285714,0.05153343082472084,isfahan,90.87447478991596,114.4351730936802,96.55412946428572,100.29526020276664
2024-07-01,2467,35042735.04273504,0.03408369458107785,isfahan,92.76018099547511,112.45563097960691,98.5576923076923,98.56031555204473
2024-08-01,2273,34400000.0,0.06629072678389392,isfahan,91.05882352941177,116.1364490526835,96.75000000000001,101.78632200109384
2024-09-01,2025,32967032.967032965,0.10168439622564662,isfahan,87.26567550096962,120.32055275164213,92.71978021978022,105.45342677192227
2024-10-01,2375,34736842.10526316,0.16505190962936211,isfahan,91.95046439628484,128.19172151142814,97.69736842105264,112.35201308520872
2024-11-01,2448,36666666.666666664,0.21586989539697043,isfahan,97.05882352941177,134.87453195718052,103.125,118.20907778326102
2024-12-01,2230,35611941.728963,0.22831559699259607,isfahan,94.26690457666678,136.56362933298124,100.15858611270845,119.6894658163622
2024-04-01,337,35000000.0,0.09282838649633263,karaj,100.0,100.0,109.49868073878628,102.22173168363784
2024-05-01,3790,31963855.421686746,0.07085427853609261,karaj,91.32530120481928,97.82655640141786,100.0,100.0
2024-06-01,3475,32459016.393442623,0.07355404212720273,karaj,92.7400468384075,98.09102181304422,101.5491278045887,100.27034112346871
2024-07-01,3248,34000000.0,0.07111125983666966,karaj,97.14285714285714,97.85169922759259,106.37014700339238,100.02570143231002
2024-08-01,3050,32240143.369175628,0.06370113757958684,karaj,92.1146953405018,97.12928606381858,100.86437616440169,99.28723818638967
2024-09-01,2804,32564784.053156145,0.08194262562547294,karaj,93.0422401518747,98.91732746144335,101.8800254961161,101.11500506626203
2024-10-01,3123,33043478.260869566,0.12039600396731132,karaj,94.40993788819875,102.7951120212385,103.37763647388518,105.07894359424535
2024-11-01,3303,32653061.224489797,0.14188048453410929,karaj,93.29446064139943,105.02750665848166,102.15620360469858,107.36093605044796
2024-12-01,3369,33974358.974358976,0.15142293692104758,karaj,97.06959706959707,106.03452370476259,106.28992818966434,108.39032631350578
2024-04-01,286,32750000.0,0.028080053498584334,mashhad,100.0,100.0,109.16666666666666,99.00988072130421
2024-05-01,3902,30000000.0,0.03803058906660084,mashhad,91.6030534351145,101.0000206762018,100.0,100.0
2024-06-01,3938,30000000.0,0.04713683615962694,mashhad,91.6030534351145,101.92395221065922,100.0,100.91478351021279
2024-07-01,4188,29877295.995182175,0.05756250661584872,mashhad,91.2283847181135,102.99213634039475,99.59098665060725,101.97239134294784
2024-08-01,4136,30000000.0,0.07181276997164687,mashhad,91.6030534351145,104.47030856427388,100.0,103.43592789866602
2024-09-01,3755,30000000.0,0.06803742311116068,mashhad,91.6030534351145,104.0766404971595,100.0,103.04615761497821
2024-10-01,4500,30092592.592592593,0.1390964519616542,mashhad,91.88577890867967,111.74132305638128,100.30864197530865,110.63495067453029
2024-11-01,4423,30841121.495327104,0.17255911032947324,mashhad,94.17136334451024,115.5437496187474,102.80373831775702,114.3997286784442
2024-12-01,4254,31250000.0,0.18619666517045452,mashhad,95.41984732824427,117.13027743189058,104.16666666666667,115.97054797384756
2024-05-01,1907,36500000.0,0.055569580052218015,shiraz,100.0,100.0,100.0,100.0
2024-06-01,2010,36310541.31054132,0.0803904606084691,shiraz,99.48093509737348,102.5131483097381,99.48093509737348,102.5131483097381
2024-07-01,2201,35616438.35616438,0.08137573907486484,shiraz,97.57928316757365,102.61420208216805,97.57928316757365,102.61420208216805
2024-08-01,2116,36086956.52173913,0.09444838761467977,shiraz,98.86837403216201,103.96444789663255,98.86837403216201,103.96444789663255
2024-09-01,1940,36472999.03567985,0.12100533066015018,shiraz,99.92602475528726,106.76241409078726,99.92602475528726,106.76241409078726
2024-10-01,2174,37500000.0,0.20595446782231974,shiraz,102.73972602739727,116.22815045864829,102.73972602739727,116.22815045864829
2024-11-01,2135,37931034.48275862,0.23926744427024005,shiraz,103.92064241851678,120.16527059637421,103.92064241851678,120.16527059637421
2024-12-01,2310,40000000.0,0.24475178693762345,shiraz,109.58904109589041,120.82610859166006,109.58904109589041,120.82610859166006
2024-04-01,715,101724137.93103448,0.02219087982117074,tehran,100.0,100.0,118.93899204244032,98.546802104138
2024-05-01,10971,85526315.78947368,0.036829482213050824,tehran,84.07671721677075,101.47462714652713,100.0,100.0
2024-06-01,10981,79047619.04761904,0.021967559291773853,tehran,77.70782889426957,99.97767044047764,92.42490842490842,98.52479703730478
2024-07-01,11011,81111111.1111111,0.034335673238182096,tehran,79.73634651600753,101.22188408806727,94.83760683760684,99.7509297983476
2024-08-01,10668,83727934.99579714,0.0424611102215966,tehran,82.3088174534955,102.04770666965726,97.89727784123974,100.56475154355837
2024-09-01,10324,81428571.42857143,0.07333289411278088,tehran,80.04842615012107,105.24723487855961,95.20879120879121,103.71778427585146
2024-10-01,11893,83896103.89610389,0.1459256881316513,tehran,82.47413603345807,113.17157095996954,98.09390609390609,111.52696407206531
2024-11-01,12337,85000000.0,0.16440416715357742,tehran,83.55932203389831,115.2822504753842,99.38461538461539,113.60697123717355
2024-12-01,12449,85416666.66666667,0.18040941575270963,tehran,83.96892655367233,117.14221645713043,99.87179487179489,115.43990823240931
2025-01-01,239,97368421.05263157,0.21641077246200524,tehran,95.71810883140054,121.43632831487325,113.84615384615384,119.67161814698946
