city_slug,listings,median_asking_price,median_price_per_sqm,mean_price_per_sqm,median_building_size_sqm,median_rooms
robat-karim,1661,1600000000.0,17066666.666666668,18088902.33242455,100.0,2.0
semnan,1628,2189000000.0,22337184.87394958,23712406.324766908,100.0,2.0
ilam,1584,1900000000.0,17058823.529411763,17939948.881998274,130.0,2.0
golbahar-city,1568,1111111111.0,13125000.0,14519819.633412877,82.0,2.0
abadan,1566,1350000000.0,13116554.054054055,14071307.832558637,120.0,2.0
birjand,1469,1500000000.0,15294117.647058824,15845591.758379454,135.0,2.0
qarchak-city,1448,1800000000.0,25027472.527472526,26595524.512236863,77.0,1.0
varamin-city,1446,2000000000.0,20833333.333333332,23861896.804037143,100.0,2.0
sirjan,1373,1800000000.0,14418604.65116279,18266852.072244503,200.0,2.0
babolsar,1260,3300000000.0,30434782.608695652,40715715.51065309,112.0,2.0
sabzevar,1252,1600000000.0,16292857.142857142,17020901.476129748,120.0,2.0
shahrekord,1178,2000000000.0,16816114.359974008,19621839.49008382,150.0,2.0
rudehen,1130,3780000000.0,28915830.54626533,34202355.286987446,150.0,2.0
sari,1123,2300000000.0,20769230.769230768,21140607.321561147,130.0,2.0
mahdasht-city,1111,1460000000.0,12000000.0,18048807.83684886,95.0,2.0
qaem-shahr,1067,2000000000.0,16216216.216216216,16815293.23088788,150.0,2.0
mohammad-shahr,1065,2000000000.0,20000000.0,25844004.062481835,100.0,2.0
dorud,1058,1500000000.0,13299731.1827957,14114780.597971909,125.0,2.0
izadshahr,1055,2200000000.0,14333333.333333334,31716103.774047147,160.0,3.0
chalus,1044,3250000000.0,19411764.70588235,26723413.40333972,160.0,2.0
rafsanjan,1042,1200000000.0,5566622.399291722,9196434.935353467,240.0,2.0
ramsar,1036,5000000000.0,24000000.0,33547508.56005042,220.0,3.0
mohammadieh,1027,1290000000.0,16025641.025641026,19704944.736326218,85.0,2.0
nasimshahr,1011,1820000000.0,23166666.666666668,27076679.074962445,80.0,2.0
shahrud,997,1950000000.0,17934782.608695652,18550426.678144302,120.0,2.0
zibakenar,975,2900000000.0,27368421.05263158,25577194.69452194,110.0,2.0
someh-sara,946,2200000000.0,21857040.229885057,20745433.230482705,113.0,2.0
gonbad-kavus,941,2150000000.0,20000000.0,20530121.484325975,120.0,2.0
golestan-baharestan,927,1800000000.0,23214285.714285713,26391134.18040658,84.0,2.0
malayer,919,2050000000.0,22352941.17647059,23734288.41097382,110.0,2.0
sahand,889,1300000000.0,17391304.347826086,17986842.210490894,78.0,2.0
mahshahr,858,2300000000.0,21380952.38095238,26262790.50604173,107.0,2.0
nazarabad,853,1400000000.0,13333333.333333334,15181964.914454514,110.0,2.0
foolad-shahr,845,1310000000.0,14705882.352941176,17150972.474954125,90.0,2.0
langarud,830,2250000000.0,27616632.860040568,26376528.962037843,100.0,2.0
charbagh-alborz,821,3000000000.0,13125000.0,26861208.52627294,170.0,2.0
fuman,817,2000000000.0,8888888.888888888,20010690.682638764,170.0,2.0
bumehen,802,2200000000.0,26394444.444444444,29162705.396370627,85.0,2.0
marvdasht-city,795,1800000000.0,13500000.0,15736626.04412728,180.0,2.0
garmdareh,783,4200000000.0,43181818.18181818,42353385.850914896,97.0,2.0
abhar,761,1800000000.0,20000000.0,19114138.365417846,113.0,2.0
talesh,756,2250000000.0,16666666.666666666,19488168.02715312,154.0,2.0
babol,755,2400000000.0,23571428.57142857,23145337.029311795,120.0,2.0
astaneh-ashrafiyeh,751,2000000000.0,22000000.0,21587118.0444168,120.0,2.0
zabol,735,670000000.0,3666666.6666666665,7212661.372123791,186.0,2.0
shushtar,709,1299000000.0,12727272.727272727,14542401.978627346,120.0,2.0
safadasht-industrial-city,704,1400000000.0,15497076.023391813,18775290.56261158,99.0,2.0
rudsar,696,2350000000.0,23121794.871794872,23021643.189196583,130.5,2.0
behbahan,690,1700000000.0,14044943.82022472,15933019.06763051,150.0,2.0
qeshm,690,2000000000.0,18336046.511627905,22752026.362222504,130.0,2.0
chabahar,683,2300000000.0,18947368.42105263,20094305.436309993,150.0,2.0
kahrizak,677,2310000000.0,30500000.0,30643050.510542996,78.0,2.0
borazjan,676,1000000000.0,7133072.40704501,11411940.738811744,200.0,2.0
salman-shahr,676,9000000000.0,50000000.0,53307923.17594157,220.0,2.0
andimeshk,664,1328000000.0,13867521.366826922,14960551.827241993,120.0,2.0
royan,661,3500000000.0,20000000.0,25521985.79869621,200.0,3.0
khorramshahr,653,1300000000.0,10000000.0,13511862.719890019,148.0,2.0
dogonbadan,647,1300000000.0,10800000.0,12426930.350389898,140.0,2.0
chaf-chamkhale,611,1400000000.0,5500000.0,15538132.512984224,190.0,2.0
bandar-kangan,609,1830000000.0,15000000.0,14274189.019627817,170.0,2.0
khoshkbijar,589,2600000000.0,21428571.42857143,21528707.955324035,125.0,2.0
marand,585,1250000000.0,9326424.870466322,14677236.322319351,150.0,2.0
kouchesfahan,581,1750000000.0,17000000.0,18028496.387005363,150.0,2.0
pishva,573,1150000000.0,12881355.93220339,16698821.989546131,80.0,1.0
khoy,564,1500000000.0,11723958.333333332,15849418.134261264,143.0,2.0
marivan,547,900000000.0,8000000.0,12903859.984637786,120.0,2.0
sangar,531,2000000000.0,7380073.800738008,18686626.535166275,200.0,2.0
kelarestan,524,3900000000.0,14888468.013468014,24116264.746291105,240.0,3.0
shirvan,522,1350000000.0,12832417.582417581,11925687.457612593,130.0,2.0
masjed-e-soleyman,520,1015000000.0,7713709.677419355,10070447.584245747,135.0,2.0
bam,518,1000000000.0,4023809.523809524,11412670.155221254,250.0,2.0
