city_slug,listings,median_asking_price,median_price_per_sqm,mean_price_per_sqm,median_building_size_sqm,median_rooms
chaboksar,216,3675000000.0,18956521.739130437,26022866.994674396,205.0,2.0
kamyaran,214,1550000000.0,16531250.0,22514386.113322817,120.0,2.0
salmas,210,1450000000.0,9966887.417218544,12576679.30946404,150.0,2.0
tuyserkan,207,1500000000.0,15474452.554744525,16615657.791165225,140.0,2.0
susangerd,207,890000000.0,5384615.384615385,16933163.138250075,180.0,3.0
sarpol-zahab,202,1370000000.0,13231534.09090909,16653739.088568257,129.0,2.0
darab,202,1111111111.0,8298898.071625344,9792186.91854565,150.0,2.0
ferdosiye,202,1856500000.0,19478319.78319783,23755734.38308398,100.0,2.0
khorramdarreh,202,1650000000.0,14452798.663324978,16836527.820471518,154.5,2.0
emamzadeh-abdollah,200,1950000000.0,13568181.818181818,15160203.417073285,160.0,2.0
kangavar,197,1600000000.0,14000000.0,18771535.069904648,145.0,2.0
shirgah,196,2250000000.0,9282051.282051282,15476453.367936881,200.0,2.0
dehloran,196,750000000.0,6048780.4878048785,8949017.310272962,150.0,2.0
baft,196,1035000000.0,4069536.4238410597,9084386.903823072,222.0,2.0
asadabad,195,1600000000.0,17647058.82352941,18850441.71561035,120.0,2.0
kelachay,195,2600000000.0,18560606.060606062,21289024.76589294,150.0,2.0
taleqan,195,2800000000.0,8846153.846153846,20293544.380828448,280.0,2.0
firuzabad,193,1400000000.0,7909090.909090909,9772678.93012693,200.0,2.0
shadeghan,193,1020000000.0,6250000.0,21245221.327317037,180.0,3.0
kahnooj,191,490000000.0,1555555.5555555555,7802304.7548868945,275.0,2.0
kalale,191,1100000000.0,8450704.225352112,10982644.204324877,150.0,2.0
ghayen,189,1050000000.0,7294117.647058823,12289649.187396063,180.0,2.0
eshtehard,189,1200000000.0,13571428.57142857,13745264.341206634,100.0,2.0
vahidieh,186,2000000000.0,17928571.42857143,27880360.600366063,120.0,2.0
behshahr,182,1365000000.0,10151412.429378532,13248248.953812534,150.5,2.0
gonabad,179,1150000000.0,8000000.0,11079052.698230801,190.0,2.0
shahedshahr,179,1650000000.0,17000000.0,20892126.567359105,95.0,2.0
khoram-abad,177,3480000000.0,12142857.142857144,22766693.551179823,250.0,2.0
sonqor,172,1160000000.0,13672476.397966594,13460199.858893408,120.0,2.0
khormoj,170,745000000.0,4229629.62962963,6749355.149760374,211.0,2.0
eqbaliyeh,168,1325000000.0,13508771.92982456,14551608.391068121,120.0,1.0
qeydar,163,1300000000.0,7900000.0,14125395.214735204,200.0,2.0
eyvan,162,1200000000.0,7839506.172839506,10656286.730030071,170.0,2.0
azarshahr,161,1500000000.0,14285714.285714285,16581286.059121924,120.0,2.0
asalem,160,2400000000.0,8266666.666666666,19785486.703559976,200.0,2.0
mobarakeh,158,1500000000.0,11015873.015873015,13257001.621634403,160.0,2.0
mahabad,157,1250000000.0,11190476.19047619,13544546.756692598,120.0,2.0
zarghan,156,1267500000.0,13084853.291038858,13462912.368202807,110.0,2.0
marzan-abad,151,2000000000.0,7102272.7272727275,18182280.202995807,250.0,2.0
bijar,150,1400000000.0,10617554.858934168,13917953.474978643,137.5,2.0
minoodasht,150,1075000000.0,7337662.337662337,11089137.153495487,139.0,2.0
bonab,148,1025000000.0,7348484.848484849,11421194.60980137,167.5,2.0
ziraab,145,2100000000.0,8500000.0,14232510.278240958,200.0,2.0
taft,143,2500000000.0,10000000.0,18883097.584272686,250.0,2.0
pareh-sar,141,2500000000.0,8461538.461538462,17504785.85308995,250.0,2.0
javanrud,139,820000000.0,8750000.0,10471868.994773356,100.0,1.0
hachirud,139,6500000000.0,27272727.272727273,42631241.88167559,230.0,3.0
koumeleh,137,2300000000.0,14805825.242718447,20247920.66144734,190.0,2.0
bandar-torkaman,137,1350000000.0,10000000.0,12905508.24730515,150.0,2.0
katalem-sadatshahr,135,4500000000.0,20555555.555555556,27910894.988713365,240.0,2.0
mohajeran,134,1600000000.0,17785688.536409516,18923745.342379287,85.0,2.0
ashkhaneh,131,1300000000.0,9386740.331491712,12860420.991496569,153.0,2.0
bahar-city,130,1690000000.0,15443925.23364486,19173580.930720262,145.0,2.0
baneh,130,1100000000.0,10773809.523809524,13149983.217723092,120.0,2.0
neyriz,127,1780000000.0,12315270.93596059,19334868.74262718,188.0,2.0
aleshtar,127,1500000000.0,9750000.0,12325219.1314792,170.0,2.0
khansar,126,2560000000.0,18711764.705882356,19986063.88939146,172.5,2.0
torghabeh-city,126,2775000000.0,21974664.67958271,30420202.825206425,141.5,2.0
sarab,126,1500000000.0,12488505.747126438,14963485.041098889,177.5,2.0
dehgolan,124,990000000.0,6641038.35978836,10317912.199879207,150.0,2.0
daran,123,1450000000.0,7777777.777777778,11361332.783305904,190.0,2.0
baghershahr,123,2500000000.0,32000000.0,37331739.99814438,80.0,2.0
ahmadsar-gourab,122,1812500000.0,4060489.5104895104,11781338.154051373,381.0,2.0
lenjan,121,2000000000.0,9250000.0,22160377.42798561,200.0,2.0
dayyer,121,950000000.0,4166666.6666666665,6939400.722322615,200.0,3.0
raheem-abad,120,2300000000.0,21291666.666666664,23027709.200268842,130.0,2.0
mehriz,120,1425000000.0,5444444.444444444,14513318.717854692,200.0,2.0
sahneh,119,1600000000.0,12857142.857142856,19372373.578420196,150.0,2.0
lar,118,2127000000.0,12038011.695906432,15397141.79442584,200.0,2.0
aq-qala,117,1250000000.0,8666666.666666666,10932905.895125628,182.0,2.0
lamerd,115,900000000.0,4208754.208333333,10260189.638786744,236.0,2.0
mahalat,115,1700000000.0,20000000.0,22435124.769451097,96.0,2.0
bardsir,114,1050000000.0,4210526.315789473,10033405.657286089,247.5,2.0
javadabad,112,1200000000.0,5595458.758109361,17839872.18695477,146.5,1.0
abdanan,111,1000000000.0,6250000.0,8893389.928759452,167.0,2.0
neka,111,1400000000.0,5600000.0,10166805.463699665,189.0,2.0
ferdows,110,820000000.0,3453984.7427365687,6998839.916555292,201.0,2.0
shazand,109,1200000000.0,7272727.2727272725,14192419.605799614,180.0,1.0
naqadeh,108,1225000000.0,9750000.0,11239896.026131539,139.0,2.0
shahin-dej,108,1218224439.0,6637298.091042585,10540844.972347079,181.0,2.0
rostam-abad,106,2000000000.0,6000000.0,16600513.010698304,247.0,2.0
tabas,105,1100000000.0,4133333.3333333335,9792246.722155754,200.0,2.0
pirbazar,105,2800000000.0,10000000.0,27077735.91162902,200.0,2.0
pol-dokhtar,103,750000000.0,6595744.680851064,9636477.366778748,140.0,2.0
galikesh,102,750000000.0,4221594.120972301,7847691.901394115,167.5,2.0
asara,101,4500000000.0,21568627.45098039,45402284.10144579,200.0,2.0
roudbaneh,101,1700000000.0,4514170.04048583,11254173.051104987,300.0,2.0
abrisham-isfahan,100,2000000000.0,16035714.285714285,19180091.028487533,120.0,2.0
fazel-abad,98,1280000000.0,8352713.178294573,13683047.835468028,150.0,2.0
mahan,98,1600000000.0,5208333.333333333,14174503.111608759,228.5,2.0
toutkabon,96,2800000000.0,6205082.135523614,17627096.530768268,410.0,2.0
eqlid,94,1345000000.0,6595238.095238095,14081868.02457254,207.5,2.0
polsefid,94,1500000000.0,8856209.150326796,14720945.018559365,180.0,2.0
otaghvar,91,1700000000.0,6071428.571428572,13282843.928438053,212.0,2.0
farahabad,91,2000000000.0,14248704.663212435,15359115.231114142,196.0,2.0
tulam-shahr,89,2000000000.0,5500000.0,14931509.628568985,210.0,2.0
delijan,88,2000000000.0,20740963.855421685,21377181.636691622,100.0,2.0
germi,87,880000000.0,6159420.289855072,9813551.666237917,180.0,2.0
kilan,87,3000000000.0,10000000.0,31117431.3472376,302.0,2.0
shanderman,85,2400000000.0,8680851.063829787,14654605.371494094,260.0,2.0
kabudrahang,83,1300000000.0,12000000.0,14322893.479502598,160.0,2.0
galougah-babol,82,1500000000.0,5000000.0,11319151.70624008,200.0,2.0
molkabad,81,850000000.0,8750000.0,12202920.852488995,165.0,2.0
lisar,80,2500000000.0,6249382.716049382,19564727.81122803,233.0,2.0
shirud,78,4000000000.0,12000000.0,21874719.726812568,231.5,3.0
loulman,78,1620000000.0,4291666.666666666,16850804.97614897,217.5,2.0
ghamsar,76,2300000000.0,11237373.737373738,19033172.913488783,220.0,2.0
gourab-zarmikh,75,2500000000.0,5172413.793103448,16607425.238011602,250.0,2.0
harsin,73,1600000000.0,14705882.352941176,15230924.601332383,130.0,2.0
juybar,71,1250000000.0,12500000.0,13951087.865042645,125.0,2.0
taybad,70,690000000.0,4739377.470355731,8736128.25237402,135.0,2.0
mehran,68,805000000.0,5411253.115553906,8114025.325644217,180.0,2.0
marzikola,66,2100000000.0,6803964.757709252,17585217.362137735,200.0,2.0
shelman,65,2200000000.0,19402985.074626867,18857867.743906498,151.0,2.0
ramiyan,65,1100000000.0,4200000.0,8455347.721554914,240.0,2.0
bafq,64,980000000.0,5000000.0,8465362.693405736,190.0,2.0
ramshir,64,1535000000.0,9096695.557963163,14253483.439655935,150.0,2.0
namin,63,1850000000.0,15000000.0,15881770.431901898,141.0,2.0
hamidiyeh,63,800000000.0,5777777.777777778,22853072.60105499,205.0,2.0
dabudasht,63,1970000000.0,16296296.296296297,16510931.450390192,156.0,2.0
kiakola,62,1890000000.0,5308695.652173913,13461909.951692719,200.0,2.0
farrokhshahr,60,2000000000.0,12500000.0,14145089.927524626,178.5,2.0
bahnamir,60,2290000000.0,9500000.0,17945684.790391583,150.0,2.0
zahak,59,425000000.0,1500000.0,4315020.112695936,200.0,2.0
deylaman,59,1800000000.0,4047619.0476190476,15454208.37565689,339.0,2.0
hamidia,55,2400000000.0,14117647.05882353,16815500.474112466,150.0,2.0
semirom,53,1300000000.0,10233918.12865497,13536487.595898239,160.0,2.0
tahergurab,52,2000000000.0,4700000.0,16633772.45394915,280.0,2.0
bisotun,51,1400000000.0,6500000.0,11835539.815345382,165.0,2.0
aalasht,51,1400000000.0,6000000.0,11150362.128593553,192.0,2.0
kiasar,50,930000000.0,3000000.0,7330127.674780755,222.0,3.0
abali,49,4950000000.0,20000000.0,30471670.610854,225.0,2.0
hendijan,49,1000000000.0,10000000.0,17168006.29278931,140.0,2.0
