model,r2_log_ppsqm,mae_log_ppsqm,rmse_log_ppsqm,median_absolute_percentage_error,share_predictions_within_20_percent,share_predictions_within_30_percent
Location median baseline,0.1930975105677657,0.7180644691852239,1.5347448505529018,0.2843292556680347,0.3855,0.5182375
Regularized hedonic Ridge,0.2813752494245504,0.7467951862291969,1.4483607352613344,0.37976403082051635,0.2511625,0.38965
Target-encoded gradient boosting,0.3341722112239185,0.6562010239901469,1.3941407308143996,0.3123644030326198,0.3228125,0.4812125
