city_slug,status,rows_available,training_rows,eligible_months,first_eligible_month,last_eligible_month,in_sample_r2_mix_model
tehran,ok,91836,80000,10,2024-04-01,2025-01-01,0.2132446799648724
mashhad,ok,33624,33624,9,2024-04-01,2024-12-01,0.309785862013625
karaj,ok,26725,26725,9,2024-04-01,2024-12-01,0.22368561433954193
isfahan,ok,18571,18571,9,2024-04-01,2024-12-01,0.26005875993258276
shiraz,ok,16949,16949,8,2024-05-01,2024-12-01,0.3327723656335564
