market_segment,listings,neighborhoods,median_asking_price,median_price_per_sqm,median_building_size_sqm,median_rooms,median_construction_year_jalali,elevator_share,parking_share,warehouse_share,rebuilt_share,listing_share_pct
Affordable,22270,35,3350000000.0,56744565.217391305,64.0,2.0,1394.0,0.6272886638098948,0.6841042498239023,0.8582765907490021,0.5576816927322907,32.923331657845715
Mid-market,18181,34,7000000000.0,85362318.8405797,87.0,2.0,1395.0,0.7664475632143068,0.8415688519896937,0.9353564271399942,0.5172084889913361,26.878270896780105
Premium,27191,35,14300000000.0,132989690.72164948,111.0,2.0,1394.0,0.8925384765244496,0.9624125874125874,0.9805792034052904,0.5253766851704996,40.19839744537418
