scope,rows_before,rows_after_strict_dedup_sensitivity,rows_removed,rows_removed_pct,median_ppsqm_before,median_ppsqm_after,median_ppsqm_change_pct
national,516947,515854,1093,0.21143366728117197,27708333.333333332,27777777.777777776,0.25062656641603454
tehran,91836,91730,106,0.11542314560738709,83333333.33333333,83333333.33333333,0.0
mashhad,33624,33568,56,0.16654770402093744,30200000.0,30206207.482993197,0.020554579447673582
karaj,26725,26708,17,0.06361085126286249,32926829.268292684,32926829.268292684,0.0
isfahan,18571,18553,18,0.09692531366108448,35000000.0,35000000.0,0.0
shiraz,16949,16922,27,0.15930143371290342,37058823.52941176,37068965.51724138,0.02736726874659201
